ID,Name,Host ID,Host Name,Host Since,Host Location,Host Response Time,Host Response Rate,Host Neighbourhood,Host Listings Count,Host Total Listings Count,Neighbourhood Cleansed,City,State,Zipcode,Country Code,Country,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,First Review,Last Review,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,License,Cancellation Policy,Calculated host listings count,Reviews per Month,Geolocation,Features
15357044,1800's Interior Designer Decorated Creole Cottage!,791011,Haute Voyages,07-07-2011,"London, England, United Kingdom",within an hour,100,Irish Channel,8,8,French Quarter,New Orleans,LA,,US,United States,29.96158628,-90.065723,Apartment,Entire home/apt,3,1,1,1,Real Bed,135,,,350,95,2,45,2,1125,2,2,2,2,10,30-12-2016,24-04-2017,94,10,10,10,10,10,9,57529,strict,3,1.94,"29.96158628, -90.0657230028","Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable"
12056967,Walk to the best of New Orleans,64578625,Angele,26-03-2016,"New Orleans, Louisiana, United States",,,Marigny/Bywater,1,1,Marigny,New Orleans,LA,70117,US,United States,29.96600511,-90.05749458,House,Entire home/apt,4,1,1,1,Real Bed,118,,,100,,4,50,2,1125,0,0,0,0,13,11-04-2016,30-05-2016,97,10,10,10,10,10,10,,flexible,1,0.93,"29.9660051119, -90.0574945844","Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License"
18035471,Cozy private room in New Orleans!!!,64761888,Sashai,28-03-2016,"New Orleans, Louisiana, United States",within an hour,100,Mid City,2,2,Mid-City,New Orleans,LA,70119,US,United States,29.97120839,-90.1060686,House,Private room,2,1,1,1,Real Bed,70,,,,17,1,0,1,1125,8,22,39,301,6,09-04-2017,29-05-2017,93,10,9,10,10,9,10,City registration pending,flexible,2,3.27,"29.9712083867, -90.1060686019","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
16728421,Cozy & Easy on Budget~Hosteeva Express STU 104,24831061,Hosteeva,14-12-2014,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,173,173,Mid-City,New Orleans,LA,70119,US,United States,29.97803392,-90.10305381,Apartment,Entire home/apt,2,1,0,1,Real Bed,50,,,100,30,1,0,1,1125,29,59,89,259,0,,,,,,,,,,,strict,39,,"29.9780339195, -90.1030538059","Host Has Profile Pic,Is Location Exact,Requires License"
17994653,Marigny Mystery,123657258,Guy,31-03-2017,"New Orleans, Louisiana, United States",within an hour,100,Marigny/Bywater,2,2,Marigny,New Orleans,LA,70117,US,United States,29.96636644,-90.05200007,House,Entire home/apt,4,2,2,2,Real Bed,165,,,,30,1,0,2,1125,22,49,79,110,4,16-04-2017,21-05-2017,100,10,10,10,10,10,10,City registration pending,moderate,2,2.5,"29.9663664415, -90.0520000667","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
16892570,North Rampart Street Suite F,24831061,Hosteeva,14-12-2014,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,173,173,Marigny,New Orleans,LA,70117,US,United States,29.96720172,-90.0545757,Condominium,Entire home/apt,8,2,2,2,Real Bed,200,,,200,75,1,0,1,1125,15,34,64,202,5,19-03-2017,21-05-2017,80,6,9,10,8,9,8,,strict,39,1.97,"29.9672017245, -90.0545756962","Host Has Profile Pic,Is Location Exact,Requires License"
18413453,Crescent City Guest House,92319805,Lynn,28-08-2016,"New Orleans, Louisiana, United States",within a few hours,100,Marigny/Bywater,3,3,Marigny,New Orleans,LA,70117,US,United States,29.96321312,-90.05437424,Bed & Breakfast,Private room,2,1,1,1,Real Bed,129,,,,,1,0,2,1125,18,44,70,135,0,,,,,,,,,,Bed and Breakfast 136995,moderate,3,,"29.9632131198, -90.0543742448","Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License"
7899612,Peacock's HAVEN enjoy the French Quarter now!!!,40896677,InaMarie,08-08-2015,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,3,3,French Quarter,New Orleans,LA,70116,US,United States,29.95944653,-90.06196193,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,,2400,150,125,2,25,2,90,7,16,46,91,83,08-09-2015,17-05-2017,99,10,10,10,10,10,10,,strict,3,3.93,"29.9594465306, -90.0619619256","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
14301872,"NEW,LARGE FRENCH QUARTER CONDO SLEEPS 14 W/BALCONY",51113477,Kris,12-12-2015,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,4,4,French Quarter,New Orleans,LA,70116,US,United States,29.96078343,-90.0580142,Condominium,Entire home/apt,14,2,3,7,Real Bed,725,,,,175,8,25,1,1125,15,32,53,277,42,05-09-2016,21-05-2017,97,10,10,10,10,10,10,,strict,4,4.65,"29.9607834283, -90.0580141951","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable"
10565821,Best Location on Bourbon w/balcony,50825426,"Hospitality Of New Orleans, LLC",08-12-2015,"New Orleans, Louisiana, United States",within an hour,94,Lakeshore / Lake Vista,11,11,French Quarter,New Orleans,LA,70116,US,United States,29.96321503,-90.06032259,Apartment,Entire home/apt,6,1,1,5,Real Bed,225,,,250,125,6,45,1,1125,9,21,32,264,77,03-02-2016,15-05-2017,97,10,10,10,10,10,10,17STR-09000,strict,11,4.75,"29.9632150309, -90.0603225874","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
17713910,French Quarter Rooftop Skyline Views,65740100,J,04-04-2016,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,2,2,French Quarter,New Orleans,LA,70130,US,United States,29.9582493,-90.06395758,Condominium,Entire home/apt,4,1,1,2,Real Bed,184,,,150,30,2,18,2,10,8,21,37,127,6,27-03-2017,20-05-2017,97,10,10,10,10,10,10,City registration pending,strict,2,2.65,"29.9582492971, -90.0639575792","Host Has Profile Pic,Host Identity Verified,Requires License"
10608896,Gem on Bourbon w Balcony/ Courtyard,50825426,"Hospitality Of New Orleans, LLC",08-12-2015,"New Orleans, Louisiana, United States",within an hour,94,Lakeshore / Lake Vista,11,11,French Quarter,New Orleans,LA,70113,US,United States,29.96378999,-90.06198111,Condominium,Entire home/apt,8,2,2,6,Real Bed,187,,9000,250,125,6,45,1,1125,8,23,39,289,64,08-02-2016,18-05-2017,95,10,10,10,10,10,10,17STR-09001,strict,11,3.99,"29.9637899853, -90.0619811053","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
12763303,"Perfect location, Perfect Balcony",47426488,Phylis,25-10-2015,"New Orleans, Louisiana, United States",a few days or more,50,French Quarter,2,2,French Quarter,New Orleans,LA,70116,US,United States,29.95787088,-90.06068251,Condominium,Entire home/apt,4,1,1,2,Real Bed,225,,,,75,1,0,1,1125,22,49,79,349,31,21-05-2016,08-05-2017,97,10,10,10,10,10,10,,flexible,2,2.46,"29.9578708836, -90.060682505","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
5556294,FRENCH QUARTER DIAMOND II,11769982,Samuel,29-01-2014,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,11,11,French Quarter,New Orleans,LA,70112,US,United States,29.95627172,-90.07079938,Apartment,Entire home/apt,8,1,3,4,Real Bed,500,,,,100,1,0,2,1125,29,56,86,355,47,22-03-2015,16-04-2017,94,10,9,10,10,10,9,,strict,7,1.75,"29.9562717242, -90.070799376","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
13137674,FRENCH QUARTER ROYAL ST. GEM,11769982,Samuel,29-01-2014,"New Orleans, Louisiana, United States",within an hour,100,French Quarter,11,11,French Quarter,New Orleans,LA,70116,US,United States,29.95966638,-90.06198543,Apartment,Entire home/apt,3,1,1,2,Real Bed,175,,,,50,1,0,3,1125,17,47,77,320,15,26-07-2016,14-05-2017,97,10,9,10,10,10,10,,strict,7,1.44,"29.9596663786, -90.0619854283","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
17319525,WHERE YA AT? 322,80933424,Gwenell,30-06-2016,US,within a few hours,61,French Quarter,4,4,French Quarter,New Orleans,LA,70112,US,United States,29.9544865,-90.06794798,Apartment,Entire home/apt,5,1,1,5,Real Bed,295,,,,120,1,0,1,1125,26,51,81,353,6,18-02-2017,23-04-2017,100,10,10,9,10,10,10,,strict,3,1.71,"29.9544864972, -90.0679479824","Host Has Profile Pic,Requires License,Instant Bookable"
14665091,"Sunny Mediterranean 2 bed, 2 bath apartment",42055863,Sandy,20-08-2015,"New Orleans, Louisiana, United States",within an hour,100,Fontainebleau,1,1,Marlyville - Fontainbleau,New Orleans,LA,70125,US,United States,29.9513379,-90.10995881,Apartment,Entire home/apt,4,2,2,3,Real Bed,139,,,150,80,4,0,2,365,0,0,22,22,20,30-10-2016,14-05-2017,100,10,10,10,10,10,10,#17STR-07575,strict,1,2.78,"29.9513379019, -90.1099588117","Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
898772,"Bywater Guest House, spacious & cozy, sleeps 7",66817,Shawn,30-12-2009,"New Orleans, Louisiana, United States",within an hour,100,Marigny/Bywater,1,1,St. Claude,New Orleans,LA,70117,US,United States,29.96487758,-90.04229741,Guest suite,Entire home/apt,8,1,3,4,Real Bed,125,,,150,75,3,50,2,14,23,53,83,358,86,05-02-2013,09-05-2017,92,9,9,10,10,9,9,City registration pending,strict,1,1.63,"29.964877581, -90.0422974106","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Require Guest Profile Picture,Require Guest Phone Verification"
17570673,New Orleans Hideaway - Just 5 Min Walk to FQ,50323243,Lloyd,01-12-2015,"New Orleans, Louisiana, United States",within an hour,100,Treme,1,1,Treme - Lafitte,New Orleans,LA,70116,US,United States,29.96320917,-90.07240623,House,Entire home/apt,6,1,1,4,Real Bed,100,,,,25,1,25,1,1125,17,45,75,350,15,13-03-2017,29-05-2017,97,10,10,10,10,9,10,17STR-05815,flexible,1,5.49,"29.9632091676, -90.072406233","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
2751665,Comfortable & Reasonable,5062271,Nola,12-02-2013,"New Orleans, Louisiana, United States",,,St. Bernard Area,1,1,St. Bernard Area,New Orleans,LA,70122,US,United States,29.99962771,-90.08040814,Apartment,Entire home/apt,6,1,2,3,Real Bed,100,550,,100,50,3,50,1,1125,1,31,61,336,11,06-05-2014,02-05-2016,98,10,9,10,10,8,9,City registration pending,moderate,1,0.29,"29.9996277065, -90.0804081358","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
16917696,Beautiful Historic Treme Home,105138283,Ryan,25-11-2016,"New Orleans, Louisiana, United States",within an hour,100,Treme,2,2,Treme - Lafitte,New Orleans,LA,70119,US,United States,29.97166513,-90.0755815,House,Entire home/apt,4,1,2,2,Real Bed,171,,,,90,3,50,2,30,26,56,86,176,10,19-02-2017,29-05-2017,98,9,10,10,10,10,10,City registration pending,strict,2,2.88,"29.9716651334, -90.0755815039","Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
8581993,Sanctuary Between Piety & Desire,4535097,Josh And Suzy,31-12-2012,"New Orleans, Louisiana, United States",within an hour,88,St. Claude/St. Roch,1,1,St. Claude,New Orleans,LA,70117,US,United States,29.96773743,-90.04169826,House,Private room,2,1,1,1,Real Bed,48,,,,,1,0,2,1125,2,17,33,268,90,26-10-2015,28-05-2017,99,10,10,10,10,9,10,City registration pending,moderate,1,4.61,"29.967737431, -90.0416982589","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
17415562,Centrally located quaint 2 bedroom in Gentilly,105945358,Edward,02-12-2016,"New Orleans, Louisiana, United States",within an hour,100,,1,1,St.  Anthony,New Orleans,LA,70122,US,United States,30.01243555,-90.06314533,House,Entire home/apt,6,1,2,3,Real Bed,95,,,,60,4,12,2,90,18,44,72,162,9,10-03-2017,29-05-2017,93,10,9,10,10,9,9,City registration pending,moderate,1,3.18,"30.0124355525, -90.0631453301","Host Has Profile Pic,Requires License"
2255182,Treme Central - Huge Balcony,6753577,Jo,05-06-2013,"New Orleans, Louisiana, United States",within a few hours,100,Treme,2,2,Treme - Lafitte,New Orleans,LA,70116,US,United States,29.96555077,-90.06477487,Apartment,Entire home/apt,6,1,2,4,Real Bed,150,,,,65,2,25,1,1125,20,40,67,342,119,18-03-2014,14-05-2017,95,10,10,10,9,9,9,17STR-10879,strict,2,3.04,"29.9655507658, -90.0647748694","Host Has Profile Pic,Is Location Exact,Requires License"
